Civilité,Prenom,Nom,Societe,Site,Departement,Service,fonction,Manager-Prenom,Manager-Nom,Nom de PC,Marque PC,Date de naissance,Telephone fixe,Telephone portable
M.,Bastien,Lucas,BillU,Paris,Service Commercial,ADV,Responsable ADV,Pierre,David,PA16564,DELL,16/07/1988,0154658546,0697336293
M.,Dorian,Blanchard,BillU,Paris,Service Commercial,B2B,Commercial,Pierre,David,PA82880,DELL,18/08/1991,0451967464,0655939808
M.,Nathan,Dupont,BillU,Paris,Service Commercial,B2B,Commercial,Pierre,David,PA12427,DELL,01/02/1992,0109336075,0662152312
M.,Theo,Fournier-Laval,BillU,Paris,Service Commercial,B2B,Commercial,Pierre,David,PA44614,DELL,16/12/1982,0181612961,0703432899
M.,Valentin,Bonnet,BillU,Paris,Service Commercial,B2B,Commercial,Pierre,David,PA90176,DELL,23/02/1987,0439648412,0799413599
Mme,Alice,Benali,BillU,Paris,Service Commercial,Service achat,Acheteur,Kylian,Martinez,PA19150,DELL,06/06/2000,0136235036,0612345678
M.,Charles,Marchand,BillU,Paris,Service Commercial,Service achat,Acheteur,Kylian,Martinez,PA16013,DELL,29/04/1999,0167218515,0654606027
Mme,Chloe,Dubois,BillU,Paris,Service Commercial,Service achat,Acheteur,Kylian,Martinez,PA19154,DELL,20/03/1989,0199503648,0611223344
M.,Dylan,Marie,BillU,Paris,Service Commercial,Service achat,Acheteur,Kylian,Martinez,PA59874,DELL,30/03/1991,0113588016,0690730213
M.,Hassan,Rahman,BillU,Paris,Service Commercial,,Acheteur,Kylian,Martinez,PA19155,DELL,28/11/1990,0165849321,0766778899
M.,Joaquin,Morales,BillU,Paris,Service Commercial,Service achat,Acheteur,Kylian,Martinez,PA19157,DELL,19/06/1994,0109806372,0755667788
M.,Mehdi,Benkacem,BillU,Paris,Service Commercial,Service achat,Acheteur,Kylian,Martinez,PA19151,DELL,10/10/1984,0122536980,0789452310
Mme,Mina,Nguyen,BillU,Paris,Service Commercial,Service achat,Acheteur,Kylian,Martinez,PA19156,DELL,03/01/1981,0133205490,0600112233
M.,Nikolai,Ivanov,BillU,Paris,Service Commercial,Service achat,Acheteur,Kylian,Martinez,PA19153,DELL,26/05/1977,0135114568,0722334455
Mme,Tara,Murphy,BillU,Paris,Service Commercial,Service achat,Acheteur,Kylian,Martinez,PA19152,DELL,15/12/1996,0169452736,0698765432
M.,Kylian,Martinez,BillU,Paris,Service Commercial,Service achat,Responsable achat client,Pierre,David,PA19149,DELL,26/08/1988,0151530426,0696228844
M.,Arjun,Patel,BillU,Paris,Service Commercial,Service Client,Agent,Kylian,Martinez,PA79821,DELL,21/04/1996,0142387006,0712345678
Mme,Aya,Kobayashi,BillU,Paris,Service Commercial,Service Client,Agent,Kylian,Martinez,PA79818,DELL,23/03/1991,0123906243,0677889900
M.,Jules,Girard,BillU,Paris,Service Commercial,Service Client,Agent,Kylian,Martinez,PA39395,DELL,25/01/1985,0163132039,0644556677
Mme,Julie,Francois D'Assise,BillU,Paris,Service Commercial,Service Client,Agent,Kylian,Martinez,PA79817,DELL,23/09/1994,0136982369,0710203040
Mme,Leila,Amrani,BillU,Paris,Service Commercial,Service Client,Agent,Kylian,Martinez,PA79820,DELL,17/12/1999,0139856399,0699887766
M.,Omar,El-Masri,BillU,Paris,Service Commercial,Service Client,Agent,Kylian,Martinez,PA79823,DELL,14/09/1996,0156245626,0709876543
M.,Sven,Andersson,BillU,Paris,Service Commercial,Service Client,Agent,Kylian,Martinez,PA79819,DELL,12/07/2003,0125743260,0733221100
Mme,Zara,Nasri,BillU,Paris,Service Commercial,Service Client,Agent,Kylian,Martinez,PA79822,DELL,17/07/2001,0168513999,0623456789
M.,Pierre,David,BillU,Paris,Service Commercial,,Directeur commercial,Camille,Martin,PA90233,DELL,12/05/1997,0106664984,0765432109
Mme,Célia,Da Silva,BillU,Paris,Service recrutement,,Agent RH,Christophe,Leroux,PA66766,HP,31/07/1986,0498537902,0634567890
Mme,Mélanie,Carpentier,BillU,Paris,Service recrutement,,Agent RH,Christophe,Leroux,PA31784,HP,09/08/1983,0183765728,0601234567
M.,Christophe,Leroux,BillU,Paris,Service recrutement,,Responsable recrutement,Camille,Martin,PA20618,HP,10/05/1992,0163902409,0718273645
